path	nominal_bytes	extension	file_type	flags	allocated_512b_blocks	content_sha256
/Users/kaidongwang/Desktop/expF2_easy_clouds_2026_06_12/potree_lib/build/potree/resources/icons/eye_2.svg	5142	svg	regular	compressed,dataless	0	NOT_AVAILABLE_DATALESS
/Users/kaidongwang/Desktop/expF2_easy_clouds_2026_06_12/potree_lib/build/potree/resources/icons/eye_crossed.svg	3448	svg	regular	compressed,dataless	0	NOT_AVAILABLE_DATALESS
/Users/kaidongwang/Desktop/expF2_easy_clouds_2026_06_12/potree_lib/build/potree/resources/icons/file_csv_2d.svg	13563	svg	regular	compressed,dataless	0	NOT_AVAILABLE_DATALESS
/Users/kaidongwang/Desktop/expF2_easy_clouds_2026_06_12/potree_lib/build/potree/resources/icons/file_dxf.svg	17847	svg	regular	compressed,dataless	0	NOT_AVAILABLE_DATALESS
/Users/kaidongwang/Desktop/expF2_easy_clouds_2026_06_12/potree_lib/build/potree/resources/icons/file_dxf_2d.svg	5043	svg	regular	compressed,dataless	0	NOT_AVAILABLE_DATALESS
/Users/kaidongwang/Desktop/expF2_easy_clouds_2026_06_12/potree_lib/build/potree/resources/icons/file_dxf_3d.svg	5558	svg	regular	compressed,dataless	0	NOT_AVAILABLE_DATALESS
/Users/kaidongwang/Desktop/expF2_easy_clouds_2026_06_12/potree_lib/build/potree/resources/icons/file_geojson.svg	20145	svg	regular	compressed,dataless	0	NOT_AVAILABLE_DATALESS
/Users/kaidongwang/Desktop/expF2_easy_clouds_2026_06_12/potree_lib/build/potree/resources/icons/file_las_3d.svg	11818	svg	regular	compressed,dataless	0	NOT_AVAILABLE_DATALESS
/Users/kaidongwang/Desktop/expF2_easy_clouds_2026_06_12/potree_lib/build/potree/resources/icons/file_potree.svg	18187	svg	regular	compressed,dataless	0	NOT_AVAILABLE_DATALESS
/Users/kaidongwang/Desktop/expF2_easy_clouds_2026_06_12/potree_lib/build/potree/resources/icons/flip_y_z.png	1026	png	regular	compressed,dataless	0	NOT_AVAILABLE_DATALESS
/Users/kaidongwang/Desktop/expF2_easy_clouds_2026_06_12/potree_lib/build/potree/resources/icons/flip_y_z.svg	4247	svg	regular	compressed,dataless	0	NOT_AVAILABLE_DATALESS
/Users/kaidongwang/Desktop/expF2_easy_clouds_2026_06_12/potree_lib/build/potree/resources/icons/focus.svg	5638	svg	regular	compressed,dataless	0	NOT_AVAILABLE_DATALESS
/Users/kaidongwang/Desktop/expF2_easy_clouds_2026_06_12/potree_lib/build/potree/resources/icons/fps_controls.png	859	png	regular	compressed,dataless	0	NOT_AVAILABLE_DATALESS
/Users/kaidongwang/Desktop/expF2_easy_clouds_2026_06_12/potree_lib/build/potree/resources/icons/fps_controls.svg	24223	svg	regular	compressed,dataless	0	NOT_AVAILABLE_DATALESS
/Users/kaidongwang/Desktop/expF2_easy_clouds_2026_06_12/potree_lib/build/potree/resources/icons/front.svg	4011	svg	regular	compressed,dataless	0	NOT_AVAILABLE_DATALESS
